date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:29:51	109780/109780	---M-Z	200	added ('OK')	text/html	date:Fri,%2022%20Mar%202024%2019:07:22%20GMT	https://themeperch.net/html/nextpro/index1.html	C:/My%20Web%20Sites/News%20portal/themeperch.net/html/nextpro/index1.html	(from )
17:29:54	115/115	---M-Z	200	added ('OK')	text/plain	date:Wed,%2024%20Apr%202024%2011:59:53%20GMT	https://themeperch.net/robots.txt		(from )
17:29:55	890/890	---M--	200	added ('OK')	image/png	date:Wed,%2014%20Feb%202024%2023:00:12%20GMT	https://themeperch.net/html/nextpro/assets/images/fav-icon/favicon.png	C:/My%20Web%20Sites/News%20portal/themeperch.net/html/nextpro/assets/images/fav-icon/favicon.png	(from https://themeperch.net/html/nextpro/index1.html)
17:29:56	232948/232948	---M-Z	200	added ('OK')	text/css	date:Fri,%2015%20Sep%202023%2000:10:46%20GMT	https://themeperch.net/html/nextpro/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/News%20portal/themeperch.net/html/nextpro/assets/css/bootstrap.min.css	(from https://themeperch.net/html/nextpro/index1.html)
17:29:58	26664/26664	---M-Z	200	added ('OK')	text/css	date:Tue,%2021%20Nov%202023%2021:28:56%20GMT	https://themeperch.net/html/nextpro/assets/css/animate.css	C:/My%20Web%20Sites/News%20portal/themeperch.net/html/nextpro/assets/css/animate.css	(from https://themeperch.net/html/nextpro/index1.html)
17:29:58	763/763	---M-Z	200	added ('OK')	text/css	date:Thu,%2007%20Mar%202024%2015:00:42%20GMT	https://themeperch.net/html/nextpro/assets/nextmarketing-icon/custom-icon.css	C:/My%20Web%20Sites/News%20portal/themeperch.net/html/nextpro/assets/nextmarketing-icon/custom-icon.css	(from https://themeperch.net/html/nextpro/index1.html)
17:29:58	504994/504994	---M-Z	200	added ('OK')	text/css	date:Fri,%2022%20Mar%202024%2016:29:26%20GMT	https://themeperch.net/html/nextpro/assets/css/all.min.css	C:/My%20Web%20Sites/News%20portal/themeperch.net/html/nextpro/assets/css/all.min.css	(from https://themeperch.net/html/nextpro/index1.html)
17:29:58	3351/3351	---M-Z	200	added ('OK')	text/css	date:Fri,%2020%20Apr%202018%2023:22:10%20GMT	https://themeperch.net/html/nextpro/assets/css/owl.carousel.min.css	C:/My%20Web%20Sites/News%20portal/themeperch.net/html/nextpro/assets/css/owl.carousel.min.css	(from https://themeperch.net/html/nextpro/index1.html)
17:29:59	8002/8002	---M-Z	200	added ('OK')	text/css	date:Thu,%2016%20Nov%202023%2016:05:40%20GMT	https://themeperch.net/html/nextpro/assets/css/magnific-popup.css	C:/My%20Web%20Sites/News%20portal/themeperch.net/html/nextpro/assets/css/magnific-popup.css	(from https://themeperch.net/html/nextpro/index1.html)
17:29:59	264986/264986	---M-Z	200	added ('OK')	text/css	date:Fri,%2029%20Mar%202024%2015:40:24%20GMT	https://themeperch.net/html/nextpro/assets/css/style.css	C:/My%20Web%20Sites/News%20portal/themeperch.net/html/nextpro/assets/css/style.css	(from https://themeperch.net/html/nextpro/index1.html)
